index,name,price,mcap,pe,pb,roce,roe,three_yr_rev_charge,three_yr_pat_charge,pbtbcfo,de,ds,sector
49,TRL Krosaki Refractories Limited Unlisted Shares,1695,3543,14.58,3.8,25.47,26.33,14.07,53.05,74.21,0.17,Yes,consumer
50,Philips Domestic Appliances India Unlisted Shares,585,3365,27.8,9.8,47.08,36.28,0.17,-5.68,97.28,,Yes,manufacturing
51,Goa Shipyard Limited Unlisted Shares,284,3306,12.2,2.29,1.88,18.84,53.91,63.8,525.49,,Yes,energy
52,Onix Renewable Limited,12750,3181,80.74,29.6,30.45,40.42,87.35,343.85,94.66,0.92,No,miscellaneous
53,Camac Commercial Company Limited Unlisted Shares,35000,3089.8,-333.3,0.94,0.03,-0.28,-31.83,N/A,-555.79,,No,power
54,C&S Electric Limited Unlisted Shares,695,3071.9,-65.38,7.43,-20.17,-11.66,-20.55,N/A,-275.6,,No,pharma
55,RDC Concrete (India) Limited,275,3048,75.34,18.33,26.51,25.93,41.84,0.62,74.76,2.53,No,construction
56,Paymate India Limited,525,3027.68,-54.07,170.45,-276.31,-333.99,96.96,N/A,25,0.21,No,finance
57,Veeda Clinical Research Limited,480,3024,-9600,2.85,,-0.03,16.07,N/A,109.43,0.25,No,metal
58,Sambhv Steel Unlisted Shares,118,2844,34.3,6.26,19.16,18.69,25.36,6.63,86.08,0.61,No,finance
59,Fincare Business Finance Unlisted Shares,85,2805,34.27,2.28,,6.66,14.47,8.23,N/A,3.08,No,services
60,Indofil Industries Limited Unlisted Shares,1195,2744,8.26,0.69,8.1,8.31,4.79,23.13,96.38,0.09,Yes,hotels
61,Studds Accessories Limited Unlisted Shares,695,2735,48,6.98,18.33,14.74,6.89,40.2,107.78,,Yes,consumer
62,Bharat Hotels Unlisted Shares,345,2622,30.83,3.01,15.4,9.87,67.02,N/A,103.59,1.29,Yes,consumer
63,Bira Unlisted Shares,415,2490,-3.32,,-266.49,206.85,-5.72,N/A,13.71,-1.64,No,finance
64,Digvijay Finlease Unlisted Shares,1875,2484.38,57.78,0.21,0.48,0.36,2.1,5,62.5,,No,electronics
65,Hindusthan Engineering & Industries Limited Unlisted Shares,1550,2280,11.01,1.62,14.6,14.8,70.89,130.38,-15.33,0.29,No,manufacturing
66,LAVA International Limited Unlisted Shares,42,2273,66.67,2.37,5.54,3.57,-21.24,-57.35,137.8,0.12,No,construction
67,Bootes Impex Tech Ltd.,3050,2263,251.24,116.32,43.4,46.55,330.74,650.42,-50,0.02,No,manufacturing
68,Utkarsh Micro Finance(Core Invest) Unlisted Shares,225,2222,6.73,0.76,,11.34,27.09,130.71,N/A,1.2,No,finance
69,Polymatech Unlisted Shares,54,2152,8.97,2.68,31.22,30.28,211.3,161.86,83.55,0.03,No,energy
70,Power Exchange India Limited (PXIL),345,2017,91.76,19.88,19.44,24.05,23.82,18.15,687.5,0.16,No,holdings
71,Axles India Limited Unlisted Shares,775,1976,22.97,6.94,32.54,31.33,22.51,59.04,24.81,0.3,Yes,finance
72,KURLON Enterprise Limited Unlisted Shares,525,1918.35,-37.61,6.65,-13.06,-18,1.56,N/A,-433.33,,Yes,consumer
73,Lords Mark Industries Limited,102,1840,161.9,19.62,10.83,12.73,61.42,64.03,-55.53,2.43,No,manufacturing
74,Mohan Meakin Limited Unlisted Shares,2150,1829,21.52,4.93,27.82,23.21,18.67,28.53,60.36,0.01,Yes,engineering
75,GKN Driveline India Limited Unlisted Shares,1425,1820,21.16,5.86,36.58,28.6,11.05,14.15,74.83,,Yes,airports
76,Frick India Limited Unlisted Shares,2975,1785,42.5,6.29,14.94,15.35,31.07,57.18,2.17,0.08,Yes,manufacturing
77,Kannur International Airport Limited Unlisted Shares,132,1767,-10.45,2.54,-3.41,-28.44,12.66,N/A,190,1.96,No,hospitals
78,Royalcare Super Speciality Hospitals,98,1676,,,8.64,12.31,5.18,6.9,129.85,1.49,No,exchange
79,National Commodity & Derivatives Exchange (NCDEX) Limited Unlisted Shares,210,1463,-52.24,3.01,-18.92,-5.89,-8.63,N/A,84.62,,Yes,edtech
80,Jaro Education,975,1462.5,38.49,11.52,38.73,32.48,53.01,7.31,-27.42,0.21,No,it
81,Kanara Consumer Products ( Formerly Known As Kurl-on Limited) Unlisted Shares,1025,1449,1.15,1.09,-1.17,95.53,-92.46,1021.61,4377.02,,No,consumer
82,Transline Technologies Limited,155,1371,38.08,14.55,41.13,42.76,138.75,674.6,-71.7,0.49,No,fintech
83,Arch Pharmalabs Limited Unlisted Shares,85,1330.08,10.9,1.57,9.3,14.57,37.82,-74.45,23.61,1.01,No,pharma
84,Fino Paytech Limited Unlisted Shares,125,1307,16.13,1.78,0.48,11.16,762.49,-60.65,850,1.01,Yes,manufacturing
85,Maharaja Shree Umaid Mills Unlisted Shares,135,1191,-108,2.23,0.12,-2.1,N/A,N/A,103.18,0.65,No,defence
86,Goodluck Defence And Aerospace Unlisted Shares,240,1179,648.65,6.54,1.51,1.08,N/A,N/A,-1822.57,,No,engineering
87,Dalmia Bharat Refractories Limited Unlisted Shares,255,1127,23.99,0.43,-1.63,1.8,-37.82,42.95,1150,0.22,Yes,manufacturing
88,India Exposition Mart Ltd Unlisted Share,150,1111,,,10.25,10.27,113.28,N/A,53.19,0.09,Yes,energy
89,Spray Engineering Devices Unlisted Shares,415,1042,19.65,7.8,41.31,42.91,59.88,87.97,21.84,0.61,No,consumer
90,Midland Micro Finance Limited Unlisted Shares,195,1021,14.18,2.05,,14.77,56.01,80.91,N/A,3.79,Yes,finance
91,Lakeshore Hospital Unlisted Share Price,83,830,,,12.25,11,5.03,,60.27,,Yes,hospitals
92,Lotte India Corporation Limited Unlisted Shares,575,802,36.46,1.19,5.56,3.32,22.38,41.42,64.47,0.09,No,manufacturing
93,Roots Multiclean Limited Unlisted Share,4000,800,16.67,2.71,19.71,16.84,18.72,35.87,50,0.23,Yes,manufacturing
94,Apollo Green Energy Limited Unlisted Shares,230,796,20.72,1.42,6.77,6.97,23.43,-3.2,19.33,0.73,No,manufacturing
95,Elofic Industries Limited Unlisted Shares,2750,688,14.32,2.58,23.39,18.71,3.28,10.94,62.5,,Yes,agriculture
96,Parry Agro Industries Limited Unlisted Shares,1740,652.5,-87,8.61,-24.33,-11.41,6.09,N/A,62.27,,No,consumer
97,Shree Refrigerations Limited,225,598,57.99,9.47,20.8,16.86,33.13,87.04,-21.13,0.6,No,energy
98,Insolare Energy Unlisted Shares,4000,589,,,7.83,5.98,-25.68,-36.75,-153.85,0.53,No,energy
99,A V Thomas & Co. Limited Unlisted Shares,12500,570,8.94,1.58,20.26,17.69,4.28,19.43,84.49,,Yes,trading
100,Ring Plus Aqua Limited Unlisted Shares,675,524,10.27,2.36,9.22,24.09,17.53,14.75,63.53,2.84,No,manufacturing
101,National E-Repository Limited (NeRL),62,502,-100,8.37,-18,-10,-5.13,N/A,97.4,,No,finance
102,RKB Global Limited,125,490.88,60.98,3.2,15.27,5.61,11.44,63.71,,0.25,No,metal
103,Honeywell Electrical Devices And Systems India Unlisted Shares,5000,476,41.59,3.97,11.67,9.55,13.96,-13.92,81.56,,No,services
104,Fly SBS Unlisted Share,395,461,41.4,6.97,21.43,16.87,97.72,245.94,13.43,0.04,No,engineering
105,Urban Tots Unlisted Shares,75,418,59.52,11.85,14.49,19.96,120.37,70.56,36.97,0.82,No,services
106,Blu-Smart Mobility Private Limited,1900,408,-1.89,,-31.31,86.1,N/A,N/A,305.8,-3.18,No,consumer
107,Bombay Gas Company Limited Unlisted Shares,500,400,1.42,1.67,144.19,122.17,113.85,N/A,62.65,0.02,No,energy
108,Vimla Fuels And Metals Limited,155,388,,,46.46,40.19,96.85,525.23,40,0.19,No,energy
109,Schneider Electric President Systems Unlisted Shares,640,387,,,23.03,19.74,3.48,36.93,-1.28,0.09,No,engineering
110,Tea Time Unlisted Shares,39,381,177.27,13.36,9.1,7.5,27.63,33.54,-72.94,0.41,No,agriculture
111,Eaton Fluid Power Limited Unlisted Shares,550,380,17.57,3.22,121.2,20.02,6.48,-10.56,25.11,0.32,No,consumer
112,San Engineering And Locomotive Company Limited Unlisted Shares,850,378,13.51,1.47,13.8,11.36,28.44,87.08,17,,Yes,power
113,AITMC Ventures Pvt. Ltd. (AVPL) Unlisted Shares Price,55,378,42.64,12.36,27.96,28.93,92.58,320.48,-26.83,0.08,No,engineering
114,XtraNet Technologies Pvt. Ltd.,475,372,31.44,7.8,23.26,31.41,62.11,244.09,-24.79,0.98,No,engineering
115,KLM Axiva Finvest Unlisted Shares Price,18,370,16.07,1.31,,8.44,30.69,44.6,N/A,3.06,Yes,finance
116,Maharashtra Knowledge Corporation (MKCL) Limited Unlisted Shares,450,364,5.77,0.61,6.13,10.82,39.94,29.1,197.62,,Yes,services
117,HCIN Networks Private Limited,275,354,50.09,2.93,23.21,34.17,92.32,740.83,-15.91,0.67,No,services
118,Hella India Lighting Unlisted Shares,925,344,11.88,1.86,17.67,16.6,16.47,30.61,46.15,0.26,No,manufacturing
119,Martin And Harris Laboratories Limited Unlisted Shares,850,340,8.49,0.53,3.28,6.33,-11.4,-24.41,73.08,0.01,Yes,chemical
120,Inkel Limited Unlisted Shares,19,338,10.92,1.5,11.08,14.36,3.21,99.1,60,0.55,Yes,healthcare
121,Archit Nuwood Unlisted Shares,270,315.36,,,74.87,57.25,N/A,N/A,25,0.02,No,services
122,ADIANCE TECHNOLOGIES Unlisted Shares,2200,307,95.36,9.18,16.05,13.72,N/A,N/A,-684.77,0.43,Yes,construction
123,Matrix Gas And Renewables Unlisted Shares,115,304,8.22,0.7,10.75,8.76,3578.77,1927.59,-266.67,0.06,No,consumer
124,NCL Buildtek Limited (Previously NCL Alltek & Seccolor Limited) Unlisted Shares,245,283,10.5,1.4,13.66,14.02,3.32,83.25,81.63,0.44,Yes,services
125,Empire Spices And Foods Limited Unlisted Shares,585,283,21.78,2.7,15.3,13.71,9.29,-3.64,121.48,0.52,Yes,finance
126,ACS Technologies Limited Unlisted Shares,46,279,65.71,2.96,5.33,4.53,10.53,92.69,29.86,0.17,No,manufacturing
127,Berar Finance Limited,225,278,,,,7.42,19.42,13.76,N/A,2.62,Yes,exchange
128,Resin & Plastic Limited Unlisted Shares,650,271,22.6,2.29,12.57,11.09,-9.35,,72.6,,Yes,forging
129,Hive Hostels,2400,270,415.94,147.78,15.71,37.59,N/A,N/A,,5.55,No,manufacturing
130,ICEX (Indian Commodity Exchange) Limited Unlisted Shares,5,267,83.33,,49.62,-22.56,-92.93,N/A,168.42,,No,consumer
